2024-02-16 12:41:28.789 [main] INFO  Freerouting v1.9.0 (build-date: 2023-10-30)
2024-02-16 12:41:28.825 [main] INFO  Settings were loaded from freerouting.json
2024-02-16 12:41:30.275 [ForkJoinPool.commonPool-worker-1] INFO  New version available: v1.9.0
2024-02-16 12:41:35.960 [AWT-EventQueue-0] INFO  Opening 'ltl.dsn'...
2024-02-16 12:41:37.696 [AWT-EventQueue-0] INFO  Opening 'ltl.rules'...
2024-02-16 12:41:55.531 [Thread-35] INFO  Starting auto-routing...
2024-02-16 12:41:59.677 [Thread-35] INFO  Auto-routing was completed in 4,14 seconds.
2024-02-16 12:41:59.780 [Thread-35] INFO  Starting route optimization on 1 thread...
2024-02-16 12:46:42.046 [Thread-35] INFO  Route optimization was completed in 4 minute(s) 42,26 seconds and it improved the design by ~51,19%.
2024-02-16 12:59:03.589 [AWT-EventQueue-0] INFO  Saving 'ltl.ses'...
2024-02-16 12:59:05.360 [AWT-EventQueue-0] INFO  Saving 'ltl.rules'...
2024-02-16 14:16:38.377 [main] INFO  Freerouting v1.9.0 (build-date: 2023-10-30)
2024-02-16 14:16:38.414 [main] INFO  Settings were loaded from freerouting.json
2024-02-16 14:16:39.836 [ForkJoinPool.commonPool-worker-1] INFO  New version available: v1.9.0
2024-02-16 14:16:50.973 [AWT-EventQueue-0] INFO  Opening 'ltl.dsn'...
2024-02-16 14:16:52.601 [AWT-EventQueue-0] INFO  Opening 'ltl.rules'...
2024-02-16 14:17:03.418 [Thread-34] INFO  Starting auto-routing...
2024-02-16 14:17:10.475 [Thread-34] WARN  There were only 8,10 changes in the last 20 passes, so it's very likely that autorouter can't improve the result much further. It is recommended to stop it and finish the board manually.
2024-02-16 14:17:12.021 [Thread-34] WARN  There were only 6,00 changes in the last 40 passes, so it's very likely that autorouter can't improve the result much further. It is recommended to stop it and finish the board manually.
2024-02-16 14:17:13.547 [Thread-34] WARN  There were only 6,00 changes in the last 60 passes, so it's very likely that autorouter can't improve the result much further. It is recommended to stop it and finish the board manually.
2024-02-16 14:17:15.076 [Thread-34] WARN  There were only 6,00 changes in the last 80 passes, so it's very likely that autorouter can't improve the result much further. It is recommended to stop it and finish the board manually.
2024-02-16 14:17:16.598 [Thread-34] WARN  There were only 6,00 changes in the last 100 passes, so it's very likely that autorouter can't improve the result much further. It is recommended to stop it and finish the board manually.
2024-02-16 14:17:18.106 [Thread-34] WARN  There were only 6,00 changes in the last 120 passes, so it's very likely that autorouter can't improve the result much further. It is recommended to stop it and finish the board manually.
2024-02-16 14:17:19.609 [Thread-34] WARN  There were only 6,00 changes in the last 140 passes, so it's very likely that autorouter can't improve the result much further. It is recommended to stop it and finish the board manually.
2024-02-16 14:17:21.105 [Thread-34] WARN  There were only 6,00 changes in the last 160 passes, so it's very likely that autorouter can't improve the result much further. It is recommended to stop it and finish the board manually.
2024-02-16 14:17:22.613 [Thread-34] WARN  There were only 6,00 changes in the last 180 passes, so it's very likely that autorouter can't improve the result much further. It is recommended to stop it and finish the board manually.
