2024-01-03 14:36:21.660 [main] INFO  Freerouting v1.9.0 (build-date: 2023-10-30)
2024-01-03 14:36:21.690 [main] INFO  Settings were loaded from freerouting.json
2024-01-03 14:36:23.181 [ForkJoinPool.commonPool-worker-1] INFO  New version available: v1.9.0
2024-01-03 14:37:06.413 [AWT-EventQueue-0] INFO  Opening 'ltl.dsn'...
2024-01-03 14:37:06.984 [AWT-EventQueue-0] INFO  Opening 'ltl.rules'...
2024-01-03 14:37:17.949 [Thread-29] INFO  Starting auto-routing...
2024-01-03 14:37:20.134 [Thread-29] WARN  There were only 4,00 changes in the last 20 passes, so it's very likely that autorouter can't improve the result much further. It is recommended to stop it and finish the board manually.
2024-01-03 14:37:21.344 [Thread-29] WARN  There were only 4,00 changes in the last 40 passes, so it's very likely that autorouter can't improve the result much further. It is recommended to stop it and finish the board manually.
2024-01-03 14:37:22.490 [Thread-29] WARN  There were only 4,00 changes in the last 60 passes, so it's very likely that autorouter can't improve the result much further. It is recommended to stop it and finish the board manually.
2024-01-03 14:37:23.619 [Thread-29] WARN  There were only 4,00 changes in the last 80 passes, so it's very likely that autorouter can't improve the result much further. It is recommended to stop it and finish the board manually.
2024-01-03 14:37:24.745 [Thread-29] WARN  There were only 4,00 changes in the last 100 passes, so it's very likely that autorouter can't improve the result much further. It is recommended to stop it and finish the board manually.
2024-01-03 14:37:25.872 [Thread-29] WARN  There were only 4,00 changes in the last 120 passes, so it's very likely that autorouter can't improve the result much further. It is recommended to stop it and finish the board manually.
2024-01-03 14:37:27.007 [Thread-29] WARN  There were only 4,00 changes in the last 140 passes, so it's very likely that autorouter can't improve the result much further. It is recommended to stop it and finish the board manually.
2024-01-03 14:37:28.135 [Thread-29] WARN  There were only 4,00 changes in the last 160 passes, so it's very likely that autorouter can't improve the result much further. It is recommended to stop it and finish the board manually.
2024-01-03 14:37:29.245 [Thread-29] WARN  There were only 4,00 changes in the last 180 passes, so it's very likely that autorouter can't improve the result much further. It is recommended to stop it and finish the board manually.
2024-01-03 14:37:30.374 [Thread-29] WARN  There were only 4,00 changes in the last 200 passes, so it's very likely that autorouter can't improve the result much further. It is recommended to stop it and finish the board manually.
2024-01-03 14:37:30.375 [Thread-29] WARN  There was so little change during the recent passes that autorouter will be stopped now.
2024-01-03 14:37:30.376 [Thread-29] INFO  Auto-routing was completed in 12,43 seconds.
2024-01-03 14:37:30.481 [Thread-29] INFO  Starting route optimization on 1 thread...
2024-01-03 14:37:45.190 [Thread-29] INFO  Route optimization was completed in 14,71 seconds and it improved the design by ~50,98%.
2024-01-03 14:38:04.957 [AWT-EventQueue-0] INFO  Saving 'ltl.ses'...
2024-01-03 14:38:07.512 [AWT-EventQueue-0] INFO  Saving 'ltl.rules'...
2024-01-03 14:38:46.481 [AWT-EventQueue-0] INFO  Saving 'ltl.ses'...
2024-01-03 14:38:49.255 [AWT-EventQueue-0] INFO  Saving 'ltl.rules'...
